row,item_id,item,passage,condition,first_mention,recent_mention,mentions_start,mentions_end,mentions_ratio,knowledge_cue,start,end,passage_reversed,start_reversed,end_reversed,attn_check_1_q,attn_check_1_a,attn_check_2_q,attn_check_2_a,passage_hr,critical_q,critical_a,llm_q
0,7_fb_1_s_e_ex,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",False Belief,Start,End,2,2,1,Explicit,garage,fridge," .]KSAM[ eht ni si eniw eht skniht divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egdirf eht otni dna egarag eht fo tuo eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine.",David thinks the wine is in the,garage,Where does David think the wine is?
1,7_fb_1_s_e_im,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",False Belief,Start,End,2,2,1,Implicit,garage,fridge," .]KSAM[ eht morf eniw eht teg ot seog divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egdirf eht otni dna egarag eht fo tuo eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine.",David goes to get the wine from the,garage,Where does David go to get the wine?
2,7_tb_1_s_e_ex,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David thinks the wine is in the [MASK].",True Belief,Start,End,2,2,1,Explicit,garage,fridge," .]KSAM[ eht ni si eniw eht skniht divaD .eniw eht tuo tup ot stnaw eh ,emoh snruter eh nehW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht otni dna egarag eht fo tuo eniw eht evom atraM sehctaw divaD .delooc tseb eb dluow eniw eht sediced atraM ,revewoH .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.",David thinks the wine is in the,fridge,Where does David think the wine is?
3,7_tb_1_s_e_im,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David goes to get the wine from the [MASK].",True Belief,Start,End,2,2,1,Implicit,garage,fridge," .]KSAM[ eht morf eniw eht teg ot seog divaD .eniw eht tuo tup ot stnaw eh ,emoh snruter eh nehW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht otni dna egarag eht fo tuo eniw eht evom atraM sehctaw divaD .delooc tseb eb dluow eniw eht sediced atraM ,revewoH .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.",David goes to get the wine from the,fridge,Where does David go to get the wine?
4,7_fb_1_s_s_ex,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",False Belief,Start,Start,2,2,1,Explicit,garage,fridge," .]KSAM[ eht ni si eniw eht skniht divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egarag eht morf egdirf eht otni eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine.",David thinks the wine is in the,garage,Where does David think the wine is?
5,7_fb_1_s_s_im,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",False Belief,Start,Start,2,2,1,Implicit,garage,fridge," .]KSAM[ eht morf eniw eht teg ot seog divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egarag eht morf egdirf eht otni eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine.",David goes to get the wine from the,garage,Where does David go to get the wine?
6,7_tb_1_s_s_ex,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David thinks the wine is in the [MASK].",True Belief,Start,Start,2,2,1,Explicit,garage,fridge," .]KSAM[ eht ni si eniw eht skniht divaD .eniw eht tuo tup ot stnaw eh ,emoh snruter eh nehW .skcans emos teg ot tuo seog divaD ,nehT .egarag eht morf egdirf eht otni eniw eht evom atraM sehctaw divaD .delooc tseb eb dluow eniw eht sediced atraM ,revewoH .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.",David thinks the wine is in the,fridge,Where does David think the wine is?
7,7_tb_1_s_s_im,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David goes to get the wine from the [MASK].",True Belief,Start,Start,2,2,1,Implicit,garage,fridge," .]KSAM[ eht morf eniw eht teg ot seog divaD .eniw eht tuo tup ot stnaw eh ,emoh snruter eh nehW .skcans emos teg ot tuo seog divaD ,nehT .egarag eht morf egdirf eht otni eniw eht evom atraM sehctaw divaD .delooc tseb eb dluow eniw eht sediced atraM ,revewoH .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.",David goes to get the wine from the,fridge,Where does David go to get the wine?
8,7_fb_1_e_e_ex,7,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",False Belief,End,End,2,2,1,Explicit,garage,fridge," .]KSAM[ eht ni si eniw eht skniht divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egdirf eht otni dna egarag eht fo tuo eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egarag eht ni eniw eht serots dna egdirf eht morf knird a sbarg divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine.",David thinks the wine is in the,garage,Where does David think the wine is?
9,7_fb_1_e_e_im,7,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",False Belief,End,End,2,2,1,Implicit,garage,fridge," .]KSAM[ eht morf eniw eht teg ot seog divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egdirf eht otni dna egarag eht fo tuo eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egarag eht ni eniw eht serots dna egdirf eht morf knird a sbarg divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine.",David goes to get the wine from the,garage,Where does David go to get the wine?
