start_prob,end_prob,passage,start,end,knowledge_cue,first_mention,recent_mention,log_odds,condition,prompt,model_path,model_shorthand
5.578969272200648e-18,8.117940605428063e-18,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,-0.5411151793120308,False Belief,"<|eot_id|><|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. Where does David think the wine is?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David thinks the wine is in the",meta-llama/Llama-3.1-8B-Instruct,LLaMA 3.1 8B Instruct
8.636828356704617e-17,1.216506733613156e-16,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,-0.494170782170829,False Belief,"<|eot_id|><|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. Where does David go to get the wine?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David goes to get the wine from the",meta-llama/Llama-3.1-8B-Instruct,LLaMA 3.1 8B Instruct
1.659572959273507e-17,2.3873248078364356e-17,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,End,-0.5245828103153466,True Belief,"<|eot_id|><|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. Where does David think the wine is?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David thinks the wine is in the",meta-llama/Llama-3.1-8B-Instruct,LLaMA 3.1 8B Instruct
9.628206967827381e-17,1.3722497551825182e-16,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,End,-0.5112040225126085,True Belief,"<|eot_id|><|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. Where does David go to get the wine?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David goes to get the wine from the",meta-llama/Llama-3.1-8B-Instruct,LLaMA 3.1 8B Instruct
5.5857198931796936e-18,8.168388696626447e-18,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,Start,-0.5483082904980855,False Belief,"<|eot_id|><|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. Where does David think the wine is?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David thinks the wine is in the",meta-llama/Llama-3.1-8B-Instruct,LLaMA 3.1 8B Instruct
7.276628439290179e-17,1.050860771924758e-16,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,Start,-0.5302294894316767,False Belief,"<|eot_id|><|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. Where does David go to get the wine?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David goes to get the wine from the",meta-llama/Llama-3.1-8B-Instruct,LLaMA 3.1 8B Instruct
1.9121250969202372e-17,2.7749075630375472e-17,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,Start,Start,-0.5372628017864416,True Belief,"<|eot_id|><|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. Where does David think the wine is?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David thinks the wine is in the",meta-llama/Llama-3.1-8B-Instruct,LLaMA 3.1 8B Instruct
8.362546515238364e-17,1.2004778262264505e-16,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,Start,Start,-0.5215945204635292,True Belief,"<|eot_id|><|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. Where does David go to get the wine?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David goes to get the wine from the",meta-llama/Llama-3.1-8B-Instruct,LLaMA 3.1 8B Instruct
6.17674623111312e-18,9.038581046671007e-18,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",garage,fridge,Explicit,End,End,-0.5492492444571078,False Belief,"<|eot_id|><|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. Where does David think the wine is?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David thinks the wine is in the",meta-llama/Llama-3.1-8B-Instruct,LLaMA 3.1 8B Instruct
8.166928226536923e-17,1.1550653458994932e-16,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",garage,fridge,Implicit,End,End,-0.5001090179935885,False Belief,"<|eot_id|><|start_header_id|>user<|end_header_id|>

David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. Where does David go to get the wine?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

David goes to get the wine from the",meta-llama/Llama-3.1-8B-Instruct,LLaMA 3.1 8B Instruct
