"","id","participant_id","item_id","item","item_type","trial_index","correct_answer","response","is_correct","reaction_time","trial_ptr_id","condition","first_mention","recent_mention","knowledge_cue","start","end","is_start","is_end","passage_reading_time","accuracy","excluded.attention","X","row","passage","mentions_start","mentions_end","mentions_ratio","passage_reversed","start_reversed","end_reversed","attn_check_1_q","attn_check_1_a","attn_check_2_q","attn_check_2_a","passage_hr","critical_q","critical_a","log_odds","token_c1","end_logprob","start_logprob","token_c2","lp_pred","pred_t1","pred_t2","pred_lp1","pred_lp2","mdl.accuracy","is_start_numeric"
"1",136,111,"9_tb_1_e_s_im",9,"critical",5,"drawer","drawer",TRUE,3606.29999999702,136,"True Belief","End","Start","Implicit","cupboard","drawer",FALSE,TRUE,18829.5,1,FALSE,47,47,"Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa realizes she needs to use the grater again. Lisa goes to get the grater from the [MASK].",2,2,1,".]KSAM[ eht morf retarg eht teg ot seog asiL .niaga retarg eht esu ot sdeen ehs sezilaer asiL .draobpuc eht morf reward eht ot retarg eht evom treboR sehctaw ehS .kcab semoc neht ,nehctik eht sevael ylfeirb ehS .draobpuc eht ni yawa ti stup dna retarg eht sesu neht ,reward eht morf alutaps a tuo sekat ehS .nehctik eht ni rennid gnikooc si asiL","draobpuc","reward","Where did Lisa put the grater at the beginning of the story?","cupboard","Where was the grater at the end of the story?","drawer","Lisa is cooking dinner in the kitchen. She takes out a spatula from the drawer, then uses the grater and puts it away in the cupboard. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa comes back realizes she needs to use the grater again.","Lisa goes to get the grater from the","drawer",-8.4137711956735,"cupboard",-0.00042079046,-8.4141919861335,"drawer","drawer","drawer",",",-0.0003151312,-0.20655473,1,0
"2",142,110,"1_fb_1_e_e_im",1,"critical",5,"box","box",TRUE,13493.7999999821,142,"False Belief","End","End","Implicit","box","basket",TRUE,FALSE,12479.900000006,1,FALSE,105,105,"Sean is reading a book. When he is done, he picks up a sweater from the basket and puts the book in the box. Then, Anna comes into the room. Sean leaves to get something to eat in the kitchen. While he is away, Anna moves the book from the box to the basket. Sean comes back into the room and wants to read more of his book. Sean goes to get the book from the [MASK].",2,2,1,".]KSAM[ eht morf koob eht teg ot seog naeS .koob sih fo erom daer ot stnaw dna moor eht otni kcab semoc naeS .teksab eht ot xob eht morf koob eht sevom annA ,yawa si eh elihW .nehctik eht ni tae ot gnihtemos teg ot sevael naeS .moor eht otni semoc annA ,nehT .xob eht ni koob eht stup dna teksab eht morf retaews a pu skcip eh ,enod si eh nehW .koob a gnidaer si naeS","xob","teksab","Where did Sean put the book at the beginning of the story?","box","Where was the book at the end of the story?","basket","Sean is reading a book. When he is done, he picks up a sweater from the basket and puts the book in the box. Then, Anna comes into the room. Sean leaves to get something to eat in the kitchen. While he is away, Anna moves the book from the box to the basket. Sean comes back into the room and wants to read more of his book.","Sean goes to get the book from the","box",-4.907542116,"box",-0.007730884,-4.915273,"basket","basket","basket",",",-0.007782602,-0.048347265,0,1
"3",145,122,"3_tb_1_e_e_ex",3,"critical",5,"basket","basket",TRUE,2914.5,145,"True Belief","End","End","Explicit","sink","basket",FALSE,TRUE,16071.8999998569,1,FALSE,138,138,"While Cameron is eating, he gets a stain on his shirt. He picks up a sweater from the basket and puts his shirt in the sink. Cameron sees Helen move the shirt from the sink to the basket. Then he goes to his room to get changed. When Cameron comes back into the room he wants to wash the stain off his shirt. Cameron thinks the shirt is in the [MASK].",2,2,1,".]KSAM[ eht ni si trihs eht skniht noremaC .trihs sih ffo niats eht hsaw ot stnaw eh moor eht otni kcab semoc noremaC nehW .degnahc teg ot moor sih ot seog eh nehT .teksab eht ot knis eht morf trihs eht evom neleH sees noremaC .knis eht ni trihs sih stup dna teksab eht morf retaews a pu skcip eH .trihs sih no niats a steg eh ,gnitae si noremaC elihW","knis","teksab","Where did Cameron put the shirt at the beginning of the story?","sink","Where is the shirt at the end of the story?","basket","While Cameron is eating, he gets a stain on his shirt. He picks up a sweater from the basket and puts his shirt in the sink. Cameron sees Helen move the shirt from the sink to the basket. Then he goes to his room to get changed. When Cameron comes back into the room he wants to wash the stain off his shirt.","Cameron thinks the shirt is in the","basket",3.514789374,"sink",-3.5468965,-0.032107126,"basket","sink","sink",",",-0.032561645,-0.05790817,0,0
"4",148,113,"11_fb_1_e_s_ex",11,"critical",5,"suitcase","suitcase",TRUE,5732.89999999851,148,"False Belief","End","Start","Explicit","suitcase","backpack",TRUE,FALSE,21592.3999999985,1,FALSE,76,76,"Patrick and Nicole are sitting at the train station, waiting for their train. Patrick grabs his camera from the backpack, takes out the ticket to check it, then puts the ticket away in the suitcase. Then he gets up to take photos of the trains. Patrick doesn't see Nicole place the ticket in the backpack after taking it out of the suitcase. Patrick comes back to sit at the table with Nicole. He wants to check the ticket one more time. Patrick thinks the ticket is in the [MASK].",2,2,1,".]KSAM[ eht ni si tekcit eht skniht kcirtaP .emit erom eno tekcit eht kcehc ot stnaw eH .elociN htiw elbat eht ta tis ot kcab semoc kcirtaP .esactius eht fo tuo ti gnikat retfa kcapkcab eht ni tekcit eht ecalp elociN ees t'nseod kcirtaP .sniart eht fo sotohp ekat ot pu steg eh nehT .esactius eht ni yawa tekcit eht stup neht ,ti kcehc ot tekcit eht tuo sekat ,kcapkcab eht morf aremac sih sbarg kcirtaP .niart rieht rof gnitiaw ,noitats niart eht ta gnittis era elociN dna kcirtaP","esactius","kcapkcab","Where did Patrick put the ticket at the beginning of the story?","suitcase","Where was the ticket at the end of the story?","backpack","Patrick and Nicole are sitting at the train station, waiting for their train. Patrick grabs his camera from the backpack, takes out the ticket to check it, then puts the ticket away in the suitcase. Then he gets up to take photos of the trains. Paul doesn't see Nicole place the ticket in the backpack after taking it out of the suitcase. Patrick comes back to sit at the table with Nicole. He wants to check the ticket one more time.","Patrick thinks the ticket is in the","suitcase",4.041960895,"suitcase",-4.061292,-0.019331105,"backpack","suitcase","suitcase",",",-0.020185381,-0.032035675,1,1
"5",157,129,"8_tb_1_s_e_ex",8,"critical",5,"bedroom","bedroom",TRUE,20667,157,"True Belief","Start","End","Explicit","hall","bedroom",FALSE,TRUE,14408,1,FALSE,18,18,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting from the hall to the bedroom. Sarah thinks the painting is in the [MASK].",2,2,1,".]KSAM[ eht ni si gnitniap eht skniht haraS .moordeb eht ot llah eht morf gnitniap eht evom semaJ sehctaw haraS .erehwesle retteb kool dluow ti sediced dna gnitniap eht sees semaJ ,elihwnaeM .gnitniap reh ta kool a evah ot edisni seog ehs ,gnidaer morf kcab steg ehs nehW .nedrag eht ni daer ot edistuo seog ehS .moordeb eht morf koob a sbarg neht ,llah eht ot gnitniap eht sevom ehs os dna ,gnitniap wen eht yalpsid ot stnaw ehS .gnitniap wen a dehsinif tsuj sah ohw tsitra na si haraS","llah","moordeb","Where did Sarah put the painting at the beginning of the story?","hall","Where was the painting at the end of the story?","bedroom","Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves it to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting from the hall to the bedroom.","Sarah thinks the painting is in the","bedroom",3.10777016,"hall",-3.2799644,-0.17219424,"bedroom","hall","hall",",",-0.17174393,-0.042143963,0,0
"6",163,136,"3_tb_1_e_s_im",3,"critical",5,"basket","basket",TRUE,6475,163,"True Belief","End","Start","Implicit","sink","basket",FALSE,TRUE,25096,1,FALSE,143,143,"While Cameron is eating, he gets a stain on his shirt. He picks up a sweater from the basket and puts his shirt in the sink. Cameron sees Helen move the shirt into the basket from the sink. Then he goes to his room to get changed. When Cameron comes back into the room he wants to wash the stain off his shirt. Cameron goes to get his shirt out of the [MASK].",2,2,1,".]KSAM[ eht fo tuo trihs sih teg ot seog noremaC .trihs sih ffo niats eht hsaw ot stnaw eh moor eht otni kcab semoc noremaC nehW .degnahc teg ot moor sih ot seog eh nehT .knis eht morf teksab eht otni trihs eht evom neleH sees noremaC .knis eht ni trihs sih stup dna teksab eht morf retaews a pu skcip eH .trihs sih no niats a steg eh ,gnitae si noremaC elihW","knis","teksab","Where did Cameron put the shirt at the beginning of the story?","sink","Where is the shirt at the end of the story?","basket","While Cameron is eating, he gets a stain on his shirt. He picks up a sweater from the basket and puts his shirt in the sink. Cameron sees Helen move the shirt into the basket from the sink. Then he goes to his room to get changed. When Cameron comes back into the room he wants to wash the stain off his shirt.","Cameron goes to get his shirt out of the","basket",-3.494741543,"sink",-0.036933757,-3.5316753,"basket","basket","basket","and",-0.03626609,-0.64918727,1,0
"7",166,115,"11_tb_1_e_e_ex",11,"critical",5,"backpack","backpack",TRUE,11628.1000001431,166,"True Belief","End","End","Explicit","suitcase","backpack",FALSE,TRUE,33258.7999999523,1,FALSE,74,74,"Patrick and Nicole are sitting at the train station, waiting for their train. Patrick grabs his camera from the backpack, takes out the ticket to check it, then puts the ticket away in the suitcase. Then he gets up to take photos of the trains. After he's done, he comes back to sit at the table with Nicole. Patrick watches Nicole take the ticket out of the suitcase and place it in the backpack. Patrick wants to check the ticket one more time. Patrick thinks the ticket is in the [MASK].",2,2,1,".]KSAM[ eht ni si tekcit eht skniht kcirtaP .emit erom eno tekcit eht kcehc ot stnaw kcirtaP .kcapkcab eht ni ti ecalp dna esactius eht fo tuo tekcit eht ekat elociN sehctaw kcirtaP .elociN htiw elbat eht ta tis ot kcab semoc eh ,enod s'eh retfA .sniart eht fo sotohp ekat ot pu steg eh nehT .esactius eht ni yawa tekcit eht stup neht ,ti kcehc ot tekcit eht tuo sekat ,kcapkcab eht morf aremac sih sbarg kcirtaP .niart rieht rof gnitiaw ,noitats niart eht ta gnittis era elociN dna kcirtaP","esactius","kcapkcab","Where did Patrick put the ticket at the beginning of the story?","suitcase","Where was the ticket at the end of the story?","backpack","Patrick and Nicole are sitting at the train station, waiting for their train. Patrick grabs his camera from the backpack, takes out the ticket to check it, then puts the ticket away in the suitcase. Then he gets up to take photos of the trains. After he's done, he comes back to sit at the table with Nicole. Patrick watches Nicole take the ticket out of the suitcase and place it in the backpack. Patrick wants to check the ticket one more time.","Patrick thinks the ticket is in the","backpack",1.97605598,"suitcase",-2.1414804,-0.16542442,"backpack","suitcase","suitcase",",",-0.1608453,-0.020135144,0,0
"8",169,156,"8_fb_1_s_e_im",8,"critical",5,"hall","hall",TRUE,8069,169,"False Belief","Start","End","Implicit","hall","bedroom",TRUE,FALSE,27221,1,FALSE,17,17,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. Meanwhile, James sees the painting and decides it would look better elsewhere. James moves the painting from the hall to the bedroom. When Sarah gets back from reading, she goes to have a look at her painting. Sarah goes to see the painting in the [MASK].",2,2,1,".]KSAM[ eht ni gnitniap eht ees ot seog haraS .gnitniap reh ta kool a evah ot seog ehs ,gnidaer morf kcab steg haraS nehW .moordeb eht ot llah eht morf gnitniap eht sevom semaJ .erehwesle retteb kool dluow ti sediced dna gnitniap eht sees semaJ ,elihwnaeM .nedrag eht ni daer ot edistuo seog ehS .moordeb eht morf koob a sbarg neht ,llah eht ot gnitniap eht sevom ehs os dna ,gnitniap wen eht yalpsid ot stnaw ehS .gnitniap wen a dehsinif tsuj sah ohw tsitra na si haraS","llah","moordeb","Where did Sarah put the painting at the beginning of the story?","hall","Where was the painting at the end of the story?","bedroom","Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves it to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. Meanwhile, James sees the painting and decides it would look better elsewhere. James moves the painting from the hall to the bedroom. When Sarah gets back from reading, she goes to have a look at her painting.","Sarah goes to see the painting in the","hall",3.076547193,"hall",-3.1306977,-0.054150507,"bedroom","hall","hall",",",-0.051826365,-0.096451394,1,1
"9",172,265,"4_fb_1_s_e_ex",4,"critical",5,"shed","shed",TRUE,18687.1999999881,172,"False Belief","Start","End","Explicit","shed","garage",TRUE,FALSE,5996.89999997616,1,FALSE,144,144,"Paula and Tim are playing catch with a football in the yard. After a while they get bored. Paula puts the football in the shed, and gets a bottle of water from the garage. Then Paula goes to run some errands. Paula is away while Tim moves the football out of the shed and into the garage. Paula gets back and wants to play catch again. Paula thinks the football is in the [MASK].",2,2,1,".]KSAM[ eht ni si llabtoof eht skniht aluaP .niaga hctac yalp ot stnaw dna kcab steg aluaP .egarag eht otni dna dehs eht fo tuo llabtoof eht sevom miT elihw yawa si aluaP .sdnarre emos nur ot seog aluaP nehT .egarag eht morf retaw fo elttob a steg dna ,dehs eht ni llabtoof eht stup aluaP .derob teg yeht elihw a retfA .dray eht ni llabtoof a htiw hctac gniyalp era miT dna aluaP","dehs","egarag","Where did Paula put the football at the beginning of the story?","shed","Where is the football at the end of the story?","garage","Paula and Tim are playing catch with a football in the yard. After a while they get bored. Paula puts the football in the shed, and gets a bottle of water from the garage. Then Paula goes to run some errands. Paula is away while Tim moves the football out of the shed and into the garage. Paula gets back and wants to play catch again.","Paula thinks the football is in the","shed",7.73717285085,"shed",-7.7376423,-0.00046944915,"garage","shed","shed",",",-0.00049658,-0.100676276,1,1
"10",175,127,"2_tb_1_e_s_im",2,"critical",5,"fridge","fridge",TRUE,7685.5,175,"True Belief","End","Start","Implicit","cupboard","fridge",FALSE,TRUE,21468.299999997,1,FALSE,127,127,"Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she gets a soda out of the fridge and puts the jam away in the cupboard. Then, James walks into the kitchen. Mary watches James move the jam into the fridge after taking it out of the cupboard. Mary goes out of the kitchen to get something from her room. Mary comes back into the kitchen and decides to make another sandwich. Mary goes to get the jam from the [MASK].",2,2,1,".]KSAM[ eht morf maj eht teg ot seog yraM .hciwdnas rehtona ekam ot sediced dna nehctik eht otni kcab semoc yraM .moor reh morf gnihtemos teg ot nehctik eht fo tuo seog yraM .draobpuc eht fo tuo ti gnikat retfa egdirf eht otni maj eht evom semaJ sehctaw yraM .nehctik eht otni sklaw semaJ ,nehT .draobpuc eht ni yawa maj eht stup dna egdirf eht fo tuo ados a steg ehs ,gnitae dehsinif sah ehs nehW .hciwdnas reh no emos stup dna maj eht tuo steg ehS .hciwdnas a ekam ot sediced dna yrgnuh gnileef si yraM","draobpuc","egdirf","Where did Mary put the jam at the beginning of the story?","cupboard","Where was the jam at the end of the story?","fridge","Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she gets a soda out of the fridge and puts the jam away in the cupboard. Then, James walks into the kitchen. Mary watches James move the jam into the fridge after taking it out of the cupboard. Mary goes out of the kitchen to get something from her room. Mary comes back into the kitchen and decides to make another sandwich.","Mary goes to get the jam from the","fridge",-3.7963797503812,"cupboard",-0.025175832,-3.8215555823812,"fridge","fridge","fridge",",",-0.023160117,-0.15027057,1,0
